"Date";"Latitude";"Longitude";"Type";"Depth";"Magnitude"
"1965";19,246;145,616;"Earthquake";131,6;6
"1965";1,863;127,352;"Earthquake";80;5,8
"1965";-20,579;-173,972;"Earthquake";20;6,2
"1965";-59,076;-23,557;"Earthquake";15;5,8
"1965";11,938;126,427;"Earthquake";15;5,8
"1965";-13,405;166,629;"Earthquake";35;6,7
"1965";27,357;87,867;"Earthquake";20;5,9
"1965";-18,697;-177,864;"Earthquake";482,9;5,6
"1965";37,523;73,251;"Earthquake";15;6
"1965";-51,84;139,741;"Earthquake";10;6,1
"1965";51,251;178,715;"Earthquake";30,3;8,7
"1965";51,639;175,055;"Earthquake";30;6
"1965";52,528;172,007;"Earthquake";25;5,7
"1965";51,626;175,746;"Earthquake";25;5,8
"1965";51,037;177,848;"Earthquake";25;5,9
"1965";51,73;173,975;"Earthquake";20;5,9
"1965";51,775;173,058;"Earthquake";10;5,7
"1965";52,611;172,588;"Earthquake";24;5,7
"1965";51,831;174,368;"Earthquake";31,8;5,7
"1965";51,948;173,969;"Earthquake";20;5,6
"1965";51,443;179,605;"Earthquake";30;7,3
"1965";52,773;171,974;"Earthquake";30;6,5
"1965";51,772;174,696;"Earthquake";20;5,6
"1965";52,975;171,091;"Earthquake";25;6,4
"1965";52,99;170,874;"Earthquake";25;5,8
"1965";51,536;175,045;"Earthquake";25;5,8
"1965";13,245;-44,922;"Earthquake";10;5,8
"1965";51,812;174,206;"Earthquake";10;5,7
"1965";51,762;174,841;"Earthquake";25;5,7
"1965";52,438;174,321;"Earthquake";39,5;6,3
"1965";51,946;173,84;"Earthquake";30;5,7
"1965";51,738;174,566;"Earthquake";20;6
"1965";51,487;176,558;"Earthquake";30,4;5,6
"1965";53,008;-162,008;"Earthquake";17,8;6,4
"1965";52,184;175,505;"Earthquake";27,7;6,2
"1965";52,076;172,918;"Earthquake";30,1;5,6
"1965";51,744;175,213;"Earthquake";37,4;5,7
"1965";52,057;174,116;"Earthquake";17,5;5,7
"1965";53,191;-161,859;"Earthquake";22,5;6,3
"1965";51,447;176,469;"Earthquake";25,2;5,8
"1965";51,258;173,393;"Earthquake";17,7;5,7
"1965";52,031;175,411;"Earthquake";25;5,7
